,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0,1901,16.66,18.53,23.72,27.66,29.9,30.21,27.6,26.26,26.43,25.38,20.92,17.87
1,1902,18.2,19.84,25.06,28.07,30.36,29.85,27.4,27.15,26.01,24.61,20.37,17.35
2,1903,17.36,18.75,22.88,27.29,29.53,30.14,27.77,26.38,26.25,24.39,19.83,16.96
3,1904,17.17,19.3,23.28,28.24,29.66,28.96,26.62,26.35,26.07,24.67,20.22,17.66
4,1905,16.26,17.54,21.96,25.87,30.3,30.48,27.37,26.75,26.28,24.85,21.35,17.42
5,1906,16.74,18.51,22.54,27.94,31.05,28.99,27.18,26.36,25.87,24.61,21.28,18.24
6,1907,18.2,18.7,22.42,26.25,29.11,29.18,27.9,25.81,26.45,25.19,21.38,17.07
7,1908,16.91,19.35,23.26,28.75,30.1,29.98,26.58,25.79,25.95,24.51,20.19,16.74
8,1909,17.43,19.02,24.3,26.51,29.74,28.31,26.29,26.1,25.64,24.56,21.34,17.74
9,1910,17.15,19.23,23.63,27.49,30.06,28.58,26.76,26.19,25.99,23.99,19.55,16.91
10,1911,18.08,18.89,22.49,27.49,30.63,28.65,27.93,26.48,26.07,24.91,20.42,17.59
11,1912,17.68,20.26,23.65,27.59,30.33,30.54,27.25,26.19,25.96,24.7,20.14,17.12
12,1913,17.16,19.55,22.5,28.49,29.29,28.09,26.87,26.41,26.45,24.95,20.48,17.56
13,1914,18.04,19.52,23.19,27,30,29.06,26.8,26.19,26.2,24.26,21.3,17.63
14,1915,17.46,18.78,23.35,27.52,30.75,30.12,27.76,26.69,26.59,25.62,21.75,17.6
15,1916,17.58,19.11,25,28.39,30.19,28.01,27.11,26.28,26.15,24.54,20.24,16.78
16,1917,17.29,19.19,22.88,26.21,28.51,28.05,26.69,26.19,25.5,23.98,19.82,17.33
17,1918,16.3,19.36,23.44,26.55,29.89,28.09,28.12,26.64,26.54,25.07,21.35,17.37
18,1919,17.84,19.13,24,27.32,29.76,29.12,26.83,26.31,26,24.42,21.04,17.39
19,1920,17.68,19.09,23.76,27.39,28.66,29.23,27,26.54,26.92,25.65,21.49,17.95
20,1921,18.05,19.29,25.31,28.87,31.4,29.34,27.67,26.19,25.8,24.11,20.2,18.25
21,1922,17.26,20.11,24.54,28.45,30.43,28.9,26.96,26.37,25.88,24.21,20.7,17.06
22,1923,17.35,18.85,23.91,28.12,29.84,30.91,26.95,26.1,26.12,24.05,20.64,17.99
23,1924,17.36,19.87,25.1,28.72,29.54,30.53,27.27,26.53,25.7,24.35,20.13,17.68
24,1925,16.13,18.27,24.03,28.74,29.28,28.28,26.4,26.53,26.51,25.02,20.71,17.4
25,1926,17.74,20.48,23.31,26.08,29.12,31.01,27.56,26.42,26.04,24.4,19.62,17.53
26,1927,17.14,18.9,23.09,27.68,29.68,29.39,26.87,26.19,26.3,24.72,19.96,18.15
27,1928,17.45,19.68,23.94,27.78,30.73,29.19,26.96,26.77,26.35,24.95,21.11,17.67
28,1929,17.3,18.55,24.66,27.82,30.71,29.2,26.93,26.18,26.5,24.42,20.98,17.24
29,1930,16.96,18.77,24.12,27.4,29.94,29.22,26.65,26.29,26.43,24.94,20.27,17.88
30,1931,18.21,19.16,23.57,28.84,30.37,30.32,27.11,26.78,26.09,24.43,20.46,17.88
31,1932,18.14,18.67,23.82,27.78,29.68,29.98,27.09,26.44,26.37,25.11,20.92,17.65
32,1933,16.75,20.01,23.87,26.82,28.38,28.56,26.99,25.89,25.79,24.35,20.75,17.85
33,1934,16.38,19.85,23.32,28,30.04,29.14,26.94,26.19,26.2,24.13,20.02,17.83
34,1935,16.42,19.54,23.78,26.15,30.69,29.98,26.85,26.07,25.85,24.59,20.8,17.9
